id,luas_ruangan_m2,jenis_dinding,ketebalan_dinding_cm,material_dinding,luas_dinding_m2,sumber_suara,intensitas_suara_awal_db,target_suara_db,frekuensi_dominan,kelas_anggaran,kelas_frekuensi,material_peredam,ketebalan_peredam_mm,sistem_pemasangan,estimasi_noise_reduction_db,estimasi_suara_di_luar_db,jarak_hingga_40db_m,estimasi_biaya_rp,tingkat_rekomendasi,delta_db,estimasi_absorpsi_A,koreksi_geometri_db,tl_required_db
13,59.7,Kayu,5.0,Multiplek / papan kayu,114.9,Kompresor,88,50,125 Hz-2 kHz,Standar,low,Rockwool 60 kg/m3,50,Peredam + rongga udara 5 cm + gypsum 12mm,31.9,56.1,6.4,31600000,Rendah,38,16.94,8.31406622693597,46.31406622693597
14,21.2,Batako,10.0,Batako press,48.1,Lalu lintas,74,50,125 Hz-1 kHz,Ekonomis,low,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,35.8,38.2,0.0,6500000,Tinggi,24,9.24,7.164731051537251,31.164731051537252
15,25.5,Beton,20.0,Beton bertulang,73.6,Lalu lintas,81,45,125 Hz-1 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,49.2,31.799999999999997,0.0,12900000,Tinggi,36,10.100000000000001,8.625564405548563,44.62556440554856
16,25.0,Hebel,7.5,Bata ringan AAC,69.9,Pompa air,75,50,250 Hz-1 kHz,Ekonomis,mid,Polyester fiber board,25,Ditempel langsung ke dinding,33.5,41.5,1.2,11200000,Tinggi,25,10.0,8.444771757456815,33.44477175745681
17,93.2,Kayu,5.0,Multiplek / papan kayu,141.3,Anak bermain,62,40,500 Hz-4 kHz,Ekonomis,high,Greenwool / PET fiber,25,Ditempel langsung ke dinding,30.7,31.3,0.0,21900000,Tinggi,22,23.64,7.7649468963934085,29.764946896393408
18,79.6,Gypsum,12.0,Gypsum board 2x12mm + rangka,115.5,Anak bermain,72,35,500 Hz-4 kHz,Ekonomis,high,Greenwool / PET fiber,25,Ditempel langsung ke dinding,37.5,34.5,0.0,17900000,Tinggi,37,20.92,7.420203040329265,44.42020304032926
19,61.4,Bata,15.0,Bata merah plester,99.1,Genset,109,50,63 Hz-500 Hz,Premium,low,Rockwool 60 kg/m3,100,Peredam + gypsum double 2x12 mm,60.1,48.9,2.8,37650000,Tinggi,59,17.28,7.585299163424009,66.58529916342401
20,46.5,Batako,10.0,Batako press,106.4,Lalu lintas,70,45,125 Hz-1 kHz,Premium,low,Glasswool 24 kg/m3,50,Ditempel langsung ke dinding,37.9,32.1,0.0,17000000,Tinggi,25,14.3,8.716055904939676,33.71605590493968
21,110.0,Kayu,5.0,Multiplek / papan kayu,126.9,Home theater,98,50,40 Hz-2 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,25.3,72.7,43.2,22200000,Rendah,48,27.0,6.720978579357175,54.72097857935717
22,60.4,Kayu,12.0,Multiplek / papan kayu,92.8,Home theater,89,35,40 Hz-2 kHz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,43.4,45.6,1.9,28750000,Rendah,54,17.08,7.350601098658759,61.35060109865876
23,76.9,Kayu,8.0,Multiplek / papan kayu,137.7,Genset,99,45,63 Hz-500 Hz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,30.1,68.9,27.9,24100000,Rendah,54,20.380000000000003,8.29729760586516,62.29729760586516
24,67.5,Kayu,5.0,Multiplek / papan kayu,98.5,Anak bermain,66,35,500 Hz-4 kHz,Ekonomis,high,Greenwool / PET fiber,25,Ditempel langsung ke dinding,33.3,32.7,0.0,15250000,Tinggi,31,18.5,7.262645020945979,38.26264502094598
25,37.8,Gypsum,12.0,Gypsum board 2x12mm + rangka,100.0,Percakapan,66,45,500 Hz-2 kHz,Standar,mid,Greenwool / PET fiber,50,Ditempel langsung ke dinding,35.1,30.9,0.0,19500000,Tinggi,21,12.559999999999999,9.010103605988228,30.010103605988228
26,68.0,Gypsum,10.0,Gypsum board 2x12mm + rangka,101.4,Bengkel las,95,50,500 Hz-8 kHz,Ekonomis,high,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,36.3,58.7,8.6,17750000,Rendah,45,18.6,7.365250107794008,52.36525010779401
27,61.6,Beton,12.0,Beton bertulang,90.5,Genset,111,50,63 Hz-500 Hz,Premium,low,Rockwool + MLV 5 kg/m2,50,Peredam + rongga udara 5 cm + gypsum 12mm,62.7,48.3,2.6,41200000,Tinggi,61,17.32,7.181006915238754,68.18100691523875
28,13.7,Beton,15.0,Beton bertulang,42.3,AC outdoor,60,30,250 Hz-2 kHz,Standar,mid,Greenwool / PET fiber,25,Ditempel langsung ke dinding,47.6,12.399999999999999,0.0,6550000,Tinggi,30,7.74,7.375994066921496,37.37599406692149
29,59.2,Beton,15.0,Beton bertulang,117.1,Studio band,111,50,50 Hz-5 kHz,Premium,low,Rockwool + MLV 5 kg/m2,75,Ditempel langsung ke dinding,57.4,53.6,4.8,45650000,Rendah,61,16.840000000000003,8.422148079087323,69.42214807908732
30,22.5,Beton,20.0,Beton bertulang,69.3,Karaoke,92,45,80 Hz-4 kHz,Ekonomis,low,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,43.6,48.4,2.6,10050000,Rendah,47,9.5,8.63009629322959,55.63009629322959
31,24.9,Beton,15.0,Beton bertulang,66.7,Studio band,98,50,50 Hz-5 kHz,Premium,low,Glasswool 24 kg/m3,25,Peredam + gypsum 12 mm,44.4,53.6,4.8,13650000,Rendah,48,9.98,8.249952926291778,56.249952926291776
32,119.3,Beton,20.0,Beton bertulang,160.4,Studio band,106,50,50 Hz-5 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,49.8,56.2,6.5,28050000,Rendah,56,28.86,7.449080371906693,63.449080371906696
33,59.9,Hebel,20.0,Bata ringan AAC,86.1,AC outdoor,69,50,250 Hz-2 kHz,Premium,mid,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,39.5,29.5,0.0,11600000,Tinggi,19,16.98,7.050654655457209,26.05065465545721
34,38.5,Bata,10.0,Bata merah plester,76.8,Home theater,93,40,40 Hz-2 kHz,Premium,low,Rockwool + MLV 5 kg/m2,100,Ditempel langsung ke dinding,55.6,37.4,0.0,32650000,Tinggi,53,12.7,7.815574990755552,60.81557499075555
35,86.7,Gypsum,15.0,Gypsum board 2x12mm + rangka,101.2,Bengkel las,95,45,500 Hz-8 kHz,Premium,high,Rockwool 60 kg/m3,100,Ditempel langsung ke dinding,46.3,48.7,2.7,24800000,Rendah,50,22.34,6.5609734372419,56.5609734372419
36,76.5,Hebel,7.5,Bata ringan AAC,96.7,Anak bermain,63,45,500 Hz-4 kHz,Ekonomis,high,Busa akustik (foam),30,Ditempel langsung ke dinding,33.5,29.5,0.0,15000000,Tinggi,18,20.3,6.779304361697887,24.77930436169789
37,23.3,Hebel,20.0,Bata ringan AAC,64.1,Home theater,93,40,40 Hz-2 kHz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,48.2,44.8,1.7,19850000,Rendah,53,9.66,8.21880903103324,61.21880903103324
38,68.0,Kayu,10.0,Multiplek / papan kayu,95.8,AC outdoor,65,40,250 Hz-2 kHz,Ekonomis,mid,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,38.4,26.6,0.0,13900000,Tinggi,25,18.6,7.118525648606281,32.11852564860628
39,70.2,Bata,25.0,Bata merah plester,102.2,Studio band,109,50,50 Hz-5 kHz,Premium,low,Rockwool 60 kg/m3,100,Peredam + gypsum 12 mm,58.3,50.7,3.4,32200000,Sedang,59,19.04,7.297839517502385,66.29783951750238
40,43.2,Batako,20.0,Batako press,88.0,Genset,101,50,63 Hz-500 Hz,Standar,low,Rockwool 60 kg/m3,100,Ditempel langsung ke dinding,48.8,52.2,4.1,21550000,Sedang,51,13.64,8.096683018297085,59.096683018297085
41,78.4,Bata,10.0,Bata merah plester,116.0,Percakapan,57,40,500 Hz-2 kHz,Standar,mid,Polyester fiber board,25,Ditempel langsung ke dinding,40.9,16.1,0.0,18550000,Tinggi,17,20.68,7.489074548050136,24.489074548050137
42,14.0,Kayu,10.0,Multiplek / papan kayu,42.2,Pompa air,70,40,250 Hz-1 kHz,Standar,mid,Greenwool / PET fiber,25,Ditempel langsung ke dinding,35.9,34.1,0.0,6550000,Tinggi,30,7.800000000000001,7.332178482711934,37.33217848271193
43,33.2,Bata,15.0,Bata merah plester,62.7,Kompresor,87,50,125 Hz-2 kHz,Standar,low,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,38.8,48.2,2.6,8450000,Tinggi,37,11.64,7.313145605168467,44.313145605168465
44,38.3,Bata,10.0,Bata merah plester,65.3,Lalu lintas,71,45,125 Hz-1 kHz,Ekonomis,low,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,37.4,33.6,0.0,8800000,Tinggi,26,12.66,7.124794755937376,33.12479475593737
45,82.0,Gypsum,10.0,Gypsum board 2x12mm + rangka,145.3,Ruang rapat,70,35,500 Hz-4 kHz,Standar,high,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,36.1,33.9,0.0,19600000,Tinggi,35,21.400000000000002,8.318518409488307,43.318518409488306
46,90.5,Kayu,12.0,Multiplek / papan kayu,125.7,Bengkel las,106,50,500 Hz-8 kHz,Premium,high,Glasswool 24 kg/m3,50,Peredam + gypsum double 2x12 mm,51.7,54.3,5.2,37100000,Rendah,56,23.1,7.357232977938134,63.35723297793813
47,18.4,Kayu,8.0,Multiplek / papan kayu,45.1,Genset,98,50,63 Hz-500 Hz,Premium,low,Rockwool + MLV 5 kg/m2,75,Ditempel langsung ke dinding,46.5,51.5,3.8,17600000,Sedang,48,8.68,7.1565681670146875,55.15656816701469
48,63.3,Gypsum,10.0,Gypsum board 2x12mm + rangka,89.9,Musik / audio,91,50,250 Hz-4 kHz,Ekonomis,mid,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,35.0,56.0,6.3,15750000,Rendah,41,17.66,7.06768992491679,48.06768992491679
49,37.0,Kayu,12.0,Multiplek / papan kayu,74.4,Studio band,101,50,50 Hz-5 kHz,Premium,low,Rockwool + MLV 5 kg/m2,50,Peredam + rongga udara 5 cm + gypsum 12mm,49.2,51.8,3.9,33850000,Sedang,51,12.4,7.781512503836437,58.78151250383644
50,110.1,Bata,20.0,Bata merah plester,147.4,Lalu lintas,76,30,125 Hz-1 kHz,Premium,low,Glasswool 24 kg/m3,75,Ditempel langsung ke dinding,44.5,31.5,0.0,28000000,Sedang,46,27.02,7.368121388370209,53.36812138837021
51,72.0,Hebel,20.0,Bata ringan AAC,96.4,Pompa air,78,30,250 Hz-1 kHz,Premium,mid,Glasswool 24 kg/m3,75,Ditempel langsung ke dinding,46.3,31.700000000000003,0.0,18300000,Sedang,48,19.4,6.962753039726048,54.962753039726046
52,60.7,Hebel,15.0,Bata ringan AAC,98.0,AC outdoor,66,40,250 Hz-2 kHz,Premium,mid,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,40.4,25.6,0.0,13250000,Tinggi,26,17.14,7.572152581053155,33.57215258105315
53,116.5,Bata,25.0,Bata merah plester,181.1,Kompresor,91,40,125 Hz-2 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,50.1,40.9,1.1,31700000,Sedang,51,28.3,8.061320147897682,59.06132014789768
54,114.8,Kayu,10.0,Multiplek / papan kayu,133.1,Karaoke,101,50,80 Hz-4 kHz,Premium,low,Rockwool 60 kg/m3,100,Peredam + gypsum double 2x12 mm,48.1,52.9,4.4,50600000,Sedang,51,27.96,6.776408884010313,57.776408884010316
55,11.8,Batako,15.0,Batako press,42.9,Karaoke,99,50,80 Hz-4 kHz,Standar,low,Rockwool 60 kg/m3,50,Peredam + rongga udara 5 cm + gypsum 12mm,49.4,49.6,3.0,11800000,Tinggi,49,7.36,7.655794778472254,56.655794778472256
56,9.2,Bata,15.0,Bata merah plester,43.2,Musik / audio,81,30,250 Hz-4 kHz,Premium,mid,Glasswool 24 kg/m3,75,Ditempel langsung ke dinding,53.1,27.9,0.0,8200000,Tinggi,51,6.84,8.004276450947959,59.004276450947955
57,17.5,Batako,20.0,Batako press,67.0,Anak bermain,61,40,500 Hz-4 kHz,Ekonomis,high,Greenwool / PET fiber,25,Ditempel langsung ke dinding,48.3,12.700000000000003,0.0,10400000,Tinggi,21,8.5,8.966558769865337,29.966558769865337
58,116.8,Beton,12.0,Beton bertulang,164.7,Studio band,106,50,50 Hz-5 kHz,Premium,low,Rockwool + MLV 5 kg/m2,75,Ditempel langsung ke dinding,55.1,50.9,3.5,64250000,Sedang,56,28.36,7.639873726587254,63.639873726587254
59,88.9,Gypsum,10.0,Gypsum board 2x12mm + rangka,117.3,Kompresor,99,45,125 Hz-2 kHz,Premium,low,Rockwool + MLV 5 kg/m2,100,Peredam + rongga udara 5 cm + gypsum 12mm,48.8,50.2,3.2,61600000,Rendah,54,22.78,7.117442923724477,61.117442923724475
60,28.0,Gypsum,10.0,Gypsum board 2x12mm + rangka,77.8,Mesin produksi,93,50,125 Hz-1 kHz,Premium,low,Rockwool 60 kg/m3,100,Peredam + gypsum 12 mm,38.6,54.4,5.2,24500000,Rendah,43,10.600000000000001,8.656737317249185,51.65673731724918
61,70.9,Hebel,15.0,Bata ringan AAC,117.7,Karaoke,90,35,80 Hz-4 kHz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,45.9,44.1,1.6,36500000,Rendah,55,19.18,7.879278600087899,62.8792786000879
62,33.4,Batako,20.0,Batako press,84.9,Pompa air,83,35,250 Hz-1 kHz,Premium,mid,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,47.0,36.0,0.0,11450000,Sedang,48,11.68,8.61464847467572,56.61464847467572
63,35.5,Bata,15.0,Bata merah plester,84.4,Studio band,95,50,50 Hz-5 kHz,Premium,low,Glasswool 24 kg/m3,25,Peredam + gypsum 12 mm,43.0,52.0,4.0,17300000,Sedang,45,12.100000000000001,8.43557076309205,53.43557076309205
64,46.5,Batako,15.0,Batako press,77.7,Lalu lintas,81,35,125 Hz-1 kHz,Premium,low,Rockwool 60 kg/m3,75,Ditempel langsung ke dinding,47.5,33.5,0.0,16300000,Tinggi,46,14.3,7.350849813358524,53.35084981335852
65,53.4,Beton,20.0,Beton bertulang,109.5,Mesin produksi,85,35,125 Hz-1 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,46.8,38.2,0.0,19150000,Rendah,50,15.68,8.440680608277177,58.44068060827718
66,17.1,Batako,10.0,Batako press,69.1,Studio band,98,45,50 Hz-5 kHz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,48.6,49.4,3.0,21400000,Rendah,53,8.42,9.141659558745488,62.14165955874549
67,113.5,Kayu,5.0,Multiplek / papan kayu,147.8,Bengkel las,91,40,500 Hz-8 kHz,Premium,high,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,46.8,44.2,1.6,45800000,Rendah,51,27.700000000000003,7.271946649943583,58.27194664994359
68,78.5,Hebel,10.0,Bata ringan AAC,140.3,Musik / audio,78,30,250 Hz-4 kHz,Standar,mid,Glasswool 24 kg/m3,25,Peredam + gypsum double 2x12 mm,46.4,31.6,0.0,37900000,Sedang,48,20.700000000000003,8.310873255714421,56.31087325571442
69,10.2,Beton,10.0,Beton bertulang,46.9,Mesin produksi,95,50,125 Hz-1 kHz,Premium,low,Glasswool 24 kg/m3,25,Peredam + gypsum 12 mm,43.9,51.1,3.6,9600000,Sedang,45,7.04,8.236001835729711,53.23600183572971
70,115.6,Beton,10.0,Beton bertulang,129.6,Studio band,110,50,50 Hz-5 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,44.5,65.5,18.8,22700000,Rendah,60,28.12,6.635896851867881,66.63589685186788
71,34.2,Batako,15.0,Batako press,69.4,Ruang rapat,68,40,500 Hz-4 kHz,Standar,high,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,46.1,21.9,0.0,10050000,Tinggi,28,11.84,7.68007768067954,35.68007768067954
72,31.8,Gypsum,7.0,Gypsum board 2x12mm + rangka,65.9,Anak bermain,66,35,500 Hz-4 kHz,Standar,high,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,33.3,32.7,0.0,9550000,Tinggi,31,11.36,7.635070832190099,38.635070832190095
73,76.7,Gypsum,15.0,Gypsum board 2x12mm + rangka,106.2,Karaoke,86,40,80 Hz-4 kHz,Premium,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,40.6,45.4,1.9,32900000,Rendah,46,20.340000000000003,7.177735681587244,53.177735681587244
74,14.8,Beton,20.0,Beton bertulang,40.9,Pompa air,80,30,250 Hz-1 kHz,Premium,mid,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,56.7,23.299999999999997,0.0,7150000,Tinggi,50,7.960000000000001,7.108102402696726,57.10810240269673
75,12.5,Kayu,12.0,Multiplek / papan kayu,57.6,Genset,109,50,63 Hz-500 Hz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,47.6,61.4,11.7,17850000,Rendah,59,7.5,8.85361220031512,67.85361220031513
76,55.6,Bata,15.0,Bata merah plester,86.1,Bengkel las,96,50,500 Hz-8 kHz,Standar,high,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,54.3,41.7,1.2,15050000,Tinggi,46,16.12,7.276381139845829,53.27638113984583
77,30.7,Kayu,12.0,Multiplek / papan kayu,78.8,Genset,110,50,63 Hz-500 Hz,Premium,low,Rockwool + MLV 5 kg/m2,100,Peredam + gypsum double 2x12 mm,57.3,52.7,4.3,44150000,Sedang,60,11.14,8.49641026651845,68.49641026651845
78,12.9,Bata,20.0,Bata merah plester,43.6,Percakapan,63,35,500 Hz-2 kHz,Standar,mid,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,52.8,10.200000000000003,0.0,7650000,Tinggi,28,7.58,7.5981728363653245,35.59817283636532
79,13.8,Hebel,20.0,Bata ringan AAC,53.8,Mesin produksi,85,50,125 Hz-1 kHz,Premium,low,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,37.7,47.3,2.3,7250000,Tinggi,35,7.76,8.409205544082008,43.409205544082006
80,61.7,Beton,10.0,Beton bertulang,130.8,Kompresor,93,45,125 Hz-2 kHz,Premium,low,Rockwool 60 kg/m3,100,Ditempel langsung ke dinding,50.7,42.3,1.3,32050000,Tinggi,48,17.340000000000003,8.77558650848057,56.77558650848057
81,100.3,Kayu,10.0,Multiplek / papan kayu,124.5,Genset,105,50,63 Hz-500 Hz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,42.5,62.5,13.3,38600000,Rendah,55,25.060000000000002,6.9618828477362396,61.96188284773624
82,30.9,Bata,25.0,Bata merah plester,64.0,Musik / audio,95,40,250 Hz-4 kHz,Premium,mid,Glasswool 24 kg/m3,50,Ditempel langsung ke dinding,50.2,44.8,1.7,10250000,Rendah,55,11.18,7.577381704334827,62.577381704334826
83,38.4,Bata,10.0,Bata merah plester,66.3,Kompresor,100,50,125 Hz-2 kHz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,49.8,50.2,3.2,20550000,Sedang,50,12.68,7.183942748590592,57.183942748590596
84,92.0,Kayu,8.0,Multiplek / papan kayu,115.8,Mesin produksi,94,45,125 Hz-1 kHz,Premium,low,Rockwool + MLV 5 kg/m2,50,Peredam + rongga udara 5 cm + gypsum 12mm,48.6,45.4,1.9,52700000,Sedang,49,23.400000000000002,6.944927019812745,55.944927019812745
85,29.6,Batako,10.0,Batako press,61.3,Lalu lintas,76,40,125 Hz-1 kHz,Ekonomis,low,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,33.6,42.4,1.3,8300000,Sedang,36,10.920000000000002,7.492378361496965,43.49237836149697
86,81.5,Beton,10.0,Beton bertulang,94.3,Pompa air,77,45,250 Hz-1 kHz,Premium,mid,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,46.9,30.1,0.0,13650000,Tinggi,32,21.3,6.461320892985905,38.4613208929859
87,75.7,Bata,12.0,Bata merah plester,115.4,Genset,111,50,63 Hz-500 Hz,Standar,low,Rockwool 60 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,53.2,57.8,7.8,35750000,Rendah,61,20.14,7.581463426021134,68.58146342602113
88,20.7,Kayu,5.0,Multiplek / papan kayu,56.9,Genset,105,50,63 Hz-500 Hz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,25.0,80.0,100.0,9950000,Rendah,55,9.14,7.941660706612397,62.941660706612396
89,90.3,Bata,25.0,Bata merah plester,123.2,Anak bermain,70,45,500 Hz-4 kHz,Standar,high,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,55.5,14.5,0.0,17850000,Tinggi,25,23.06,7.277514048697265,32.27751404869726
90,69.8,Bata,20.0,Bata merah plester,93.4,Bengkel las,102,50,500 Hz-8 kHz,Premium,high,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,51.4,50.6,3.4,12600000,Sedang,52,18.96,6.925085432280459,58.92508543228046
91,118.7,Hebel,15.0,Bata ringan AAC,142.4,Percakapan,64,40,500 Hz-2 kHz,Ekonomis,mid,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,39.4,24.6,0.0,20650000,Tinggi,24,28.740000000000002,6.950232255026307,30.950232255026307
92,54.0,Batako,20.0,Batako press,82.6,Home theater,98,45,40 Hz-2 kHz,Premium,low,Rockwool 60 kg/m3,75,Peredam + gypsum 12 mm,52.4,45.6,1.9,23150000,Sedang,53,15.8,7.183229603659596,60.1832296036596
93,10.6,Beton,12.0,Beton bertulang,40.8,Kompresor,87,45,125 Hz-2 kHz,Premium,low,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,42.3,44.7,1.7,5900000,Tinggi,42,7.12,7.581801694530235,49.581801694530235
94,111.7,Gypsum,10.0,Gypsum board 2x12mm + rangka,117.5,Bengkel las,96,50,500 Hz-8 kHz,Standar,high,Rockwool 60 kg/m3,75,Peredam + gypsum 12 mm,47.0,49.0,2.8,32900000,Tinggi,46,27.340000000000003,6.332393563759515,52.33239356375952
95,18.6,Gypsum,15.0,Gypsum board 2x12mm + rangka,54.0,Anak bermain,67,50,500 Hz-4 kHz,Ekonomis,high,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,41.4,25.6,0.0,9450000,Tinggi,17,8.72,7.918772748904013,24.91877274890401
96,13.6,Gypsum,10.0,Gypsum board 2x12mm + rangka,43.7,Musik / audio,79,35,250 Hz-4 kHz,Premium,mid,Glasswool 24 kg/m3,75,Peredam + gypsum 12 mm,43.6,35.4,0.0,11350000,Sedang,44,7.720000000000001,7.528641366346856,51.528641366346854
97,83.1,Gypsum,7.0,Gypsum board 2x12mm + rangka,111.5,Lalu lintas,84,50,125 Hz-1 kHz,Premium,low,Glasswool 24 kg/m3,75,Peredam + rongga udara 5 cm + gypsum 12mm,33.4,50.6,3.4,32350000,Sedang,34,21.62,7.124191777668879,41.12419177766888
98,52.2,Beton,20.0,Beton bertulang,95.0,Pompa air,75,30,250 Hz-1 kHz,Ekonomis,mid,Glasswool 24 kg/m3,50,Ditempel langsung ke dinding,54.9,20.1,0.0,15200000,Tinggi,45,15.440000000000001,7.890763092891304,52.890763092891305
99,101.9,Gypsum,15.0,Gypsum board 2x12mm + rangka,150.2,Musik / audio,79,40,250 Hz-4 kHz,Standar,mid,Glasswool 24 kg/m3,50,Ditempel langsung ke dinding,37.1,41.9,1.2,24050000,Sedang,39,25.380000000000003,7.721783149094636,46.721783149094634
100,13.5,Kayu,5.0,Multiplek / papan kayu,40.7,Ruang rapat,65,50,500 Hz-4 kHz,Ekonomis,high,Busa akustik (foam),30,Ditempel langsung ke dinding,30.9,34.1,0.0,6300000,Tinggi,15,7.7,7.2310368405273815,22.23103684052738
